*阿	ā
氯氣	lǜqì
*綠	lǜ
綠化	lǜhuà
濾	lǜ
*卵	luăn
卵巢	luăncháo
*亂	luàn
掠奪	lüèduó
*略	lüè
倫理	lúnlĭ
*輪	lún
輪船	lúnchuán
輪廓	lúnkuò
輪流	lúnliú
*論	lùn
論點	lùndiăn
*論述	lùnshù
*論文	lùnwén
論證	lùnzhèng
螺旋	luóxuán
*羅	luó
*邏輯	luó·jí
*落	luò
落地	luòdì
*落後	luòhòu
*落實	luòshí
絡	luò
駱駝	luò·tuo
*抹	mā
*媽媽	mā·ma
麻	má
麻煩	má·fan
麻醉	mázuì
*馬	mă
馬車	măchē
*馬路	mălù
*馬上	măshàng
碼	mă
碼頭	mă·tou
*螞蟻	măyĭ
*罵	mà
埋	mái
*買	măi
*買賣	măi·mai
脈	mài
麥	mài
*賣	mài
邁	mài
瞞	mán
饅頭	mán·tou
蠻	mán
*滿	măn
*滿意	mănyì
*滿足	mănzú
漫長	màncháng
*慢	màn
慢性	mànxìng
*忙	máng
忙碌	mánglù
*盲目	mángmù
茫然	mángrán
*貓	māo
*毛	máo
毛病	máo·bìng
毛巾	máojīn
*矛盾	máodùn
*冒	mào
冒險	màoxiăn
帽	mào
*帽子	mào·zi
*貿易	màoyì
*沒	méi
沒事	méishì
*沒有	méi·yŏu
*枚	méi
眉	méi
眉毛	méi·mao
眉頭	méitóu
梅	méi
*煤	méi
煤炭	méitàn
媒介	méijiè
*每	měi
*每年	měinián
*美	měi
美感	měigăn
*美好	měihăo
美化	měihuà
*美麗	měilì
美妙	měimiào
*美術	měishù
*美學	měixué
*美元	Měiyuán
鎂	měi
*妹妹	mèi·mei
魅力	mèilì
悶	mēn
*門	mén
*門口	ménkŏu
悶	mèn
蒙	mēng
萌發	méngfā
萌芽	méngyá
蒙	méng
蒙	Měng
*猛	měng
猛烈	měngliè
孟	Mèng
*夢	mèng
迷	mí
迷人	mírén
迷信	míxìn
謎	mí
彌補	míbŭ
瀰漫	mímàn
*米	mĭ
*秘密	mìmì
秘書	mìshū
*密	mì
*密度	mìdù
密集	mìjí
*密切	mìqiè
蜜	mì
蜜蜂	mìfēng
*棉	mián
*棉花	mián·huā
免	miăn
免疫	miănyì
勉強	miănqiăng
*面	miàn
*面積	miànjī
面孔	miànkŏng
*面臨	miànlín
*面貌	miànmào
面目	miànmù
*面前	miànqián
*苗	miáo
*描繪	miáohuì
*描述	miáoshù
*描寫	miáoxiě
*秒	miăo
妙	miào
廟	miào
*滅	miè
滅亡	mièwáng
*民	mín
民兵	mínbīng
民歌	míngē
民國	mínguó
*民間	mínjiān
民事	mínshì
民俗	mínsú
民眾	mínzhòng
*民主	mínzhŭ
*民族	mínzú
敏感	mĭngăn
敏捷	mĭnjié
敏銳	mĭnruì
*名	míng
*名稱	míngchēng
*名詞	míngcí
名義	míngyì
*名字	míng·zi
*明	míng
*明白	míng·bai
明亮	míngliàng
明年	míngnián
*明確	míngquè
*明天	míngtiān
*明顯	míngxiăn
鳴	míng
*命	mìng
*命令	mìnglìng
命名	mìngmíng
*命題	mìngtí
*命運	mìngyùn
*摸	mō
摸索	mō·suŏ
模	mó
模範	mófàn
*模仿	mófăng
*模糊	mó·hu
模擬	mónĭ
*模式	móshì
*模型	móxíng
*膜	mó
摩	mó
摩擦	mócā
*磨	mó
*抹	mŏ
*末	mò
末期	mòqī
*抹	mò
*沒	mò
沒落	mòluò
沒收	mòshōu
陌生	mòshēng
*莫	mò
墨	mò
*默默	mòmò
*磨	mò
謀	móu
*某	mŏu
模樣	múyàng
*母	mŭ
*母親	mŭ·qīn
母體	mŭtĭ
*畝	mŭ
*木	mù
木材	mùcái
木頭	mù·tou
*目	mù
*目標	mùbiāo
*目的	mùdì
*目光	mùguāng
*目前	mùqián
墓	mù
幕	mù
*拿	ná
*哪	nă
*哪裏	nă·lĭ
*哪兒	năr
*哪些	năxiē
*那	nà
*那裏	nà·lĭ
*那麼	nà·me
*那兒	nàr
*那些	nàxiē
*那樣	nàyàng
納	nà
納入	nàrù
納稅	nàshuì
*鈉	nà
*乃	năi
乃至	năizhì
奶	năi
*奶奶	năi·nai
耐	nài
耐心	nàixīn
*男	nán
*男女	nánnǚ
*男人	nánrén
男性	nánxìng
*男子	nánzĭ
*南	nán
*南北	nánběi
*南方	nánfāng
南極	Nánjí
*難	nán
*難道	nándào
難得	nándé
難怪	nánguài
難過	nánguò
難免	nánmiăn
難受	nánshòu
難題	nántí
*難以	nányĭ
難於	nányú
*難	nàn
*囊	náng
*腦	năo
*腦袋	năo·dai
*腦子	năo·zi
*鬧	nào
*內	nèi
*內部	nèibù
內地	nèidì
內涵	nèihán
*內容	nèiróng
內外	nèiwài
*內心	nèixīn
*內在	nèizài
內臟	nèizàng
嫩	nèn
*能	néng
*能夠	nénggòu
*能力	nénglì
*能量	néngliàng
*能源	néngyuán
*泥	ní
泥土	nítŭ
*你	nĭ
*你們	nĭ·men
擬	nĭ
逆	nì
*年	nián
年初	niánchū
*年代	niándài
年底	niándĭ
年度	niándù
年級	niánjí
*年紀	niánjì
*年間	niánjiān
*年齡	niánlíng
年青	niánqīng
*年輕	niánqīng
年頭兒	niántóur
*念	niàn
念頭	niàn·tou
*娘	niáng
*鳥	niăo
尿	niào
捏	niē
*您	nín
寧	níng
寧靜	níngjìng
擰	níng
凝	níng
凝固	nínggù
凝結	níngjié
凝聚	níngjù
凝視	níngshì
擰	nĭng
寧	nìng
擰	nìng
*牛	niú
扭	niŭ
扭轉	niŭzhuăn
*農	nóng
*農產品	nóngchănpĭn
農場	nóngchăng
*農村	nóngcūn
農戶	nónghù
農具	nóngjù
*農民	nóngmín
農田	nóngtián
農藥	nóngyào
*農業	nóngyè
農作物	nóngzuòwù
*濃	nóng
*濃度	nóngdù
濃厚	nónghòu
*弄	nòng
*奴隸	núlì
*努力	nŭlì
怒	nù
*女	nǚ
*女兒	nǚ’ér
女工	nǚgōng
*女人	nǚrén
女士	nǚshì
*女性	nǚxìng
女婿	nǚ·xu
*女子	nǚzĭ
*暖	nuăn
歐	Ōu
偶	ŏu
偶爾	ŏu'ěr
*偶然	ŏurán
偶然性	ŏuránxìng
扒	pá
*爬	pá
*怕	pà
*拍	pāi
拍攝	pāishè
*排	pái
*排斥	páichì
排除	páichú
排放	páifàng
*排列	páiliè
*牌	pái
牌子	pái·zi
*派	pài
派出所	pàichūsuŏ
派遣	pàiqiăn
潘	Pān
攀	pān
*盤	pán
判	pàn
判處	pànchŭ
判定	pàndìng
*判斷	pànduàn
判決	pànjué
盼	pàn
盼望	pànwàng
*旁	páng
*旁邊	pángbiān
龐大	pángdà
*胖	pàng
*泡	pāo
拋	pāo
拋棄	pāoqì
炮	páo
*跑	păo
*泡	pào
炮	pào
炮彈	pàodàn
胚	pēi
胚胎	pēitāi
培訓	péixùn
*培養	péiyăng
培育	péiyù
陪	péi
賠償	péicháng
佩服	pèi·fú
*配	pèi
*配合	pèihé
配套	pèitào
配置	pèizhì
噴	pēn
*盆	pén
盆地	péndì
*朋友	péng·you
棚	péng
彭	Péng
*膨脹	péngzhàng
蓬勃	péngbó
捧	pěng
*碰	pèng
*批	pī
*批發	pīfā
*批判	pīpàn
*批評	pīpíng
*批准	pīzhŭn
披	pī
*皮	pí
*皮膚	pífū
疲倦	píjuàn
疲勞	píláo
脾	pí
脾氣	pí·qi
*匹	pĭ
屁股	pì·gu
*譬如	pìrú
*偏	piān
偏見	piānjiàn
偏偏	piānpiān
偏向	piānxiàng
*篇	piān
便宜	pián·yi
*片	piàn
片刻	piànkè
片面	piànmiàn
騙	piàn
飄	piāo
票	piào
*漂亮	piào·liang
拼命	pīnmìng
貧	pín
貧困	pínkùn
貧窮	pínqióng
頻繁	pínfán
*頻率	pínlǜ
*品	pĭn
品德	pĭndé
*品質	pĭnzhì
*品種	pĭnzhŏng
乒乓球	pīngpāngqiú
*平	píng
*平常	píngcháng
*平等	píngděng
平凡	píngfán
平分	píngfēn
*平衡	pínghéng
*平靜	píngjìng
*平均	píngjūn
*平面	píngmiàn
平民	píngmín
平日	píngrì
*平時	píngshí
平坦	píngtăn
*平行	píngxíng
*平原	píngyuán
評	píng
*評價	píngjià
*評論	pínglùn
評選	píngxuăn
屏	píng
*瓶	píng
*憑	píng
憑藉	píngjiè
蘋果	píngguŏ
坡	pō
*頗	pō
婆婆	pó·po
迫	pò
迫害	pòhài
迫切	pòqiè
迫使	pòshĭ
*破	pò
破產	pòchăn
*破壞	pòhuài
破裂	pòliè
撲	pū
*鋪	pū
菩薩	pú·sà
葡萄	pú·táo
葡萄糖	pú·táotáng
*普遍	pŭbiàn
普及	pŭjí
*普通	pŭtōng
普通話	Pŭtōnghuà
譜	pŭ
樸素	pŭsù
*鋪	pù
*七	qī
*妻子	qī·zi
淒涼	qīliáng
*期	qī
期待	qīdài
期貨	qīhuò
*期間	qījiān
期望	qīwàng
期限	qīxiàn
欺騙	qīpiàn
漆	qī
*其	qí
*其次	qícì
其間	qíjiān
*其實	qíshí
*其他	qítā
*其餘	qíyú
*其中	qízhōng
旗	qí
旗幟	qízhì
奇	qí
*奇怪	qíguài
奇跡	qíjì
奇特	qítè
奇異	qíyì
*騎	qí
*齊	qí
*企圖	qĭtú
*企業	qĭyè
*起	qĭ
起初	qĭchū
起點	qĭdiăn
起伏	qĭfú
*起來	qĭ·lái
起碼	qĭmă
起身	qĭshēn
*起義	qĭyì
*起源	qĭyuán
*啟發	qĭfā
啟示	qĭshì
*汽車	qìchē
汽油	qìyóu
*氣	qì
*氣氛	qì·fēn
氣憤	qìfèn
*氣候	qìhòu
氣流	qìliú
*氣體	qìtĭ
氣團	qìtuán
氣味	qìwèi
*氣溫	qìwēn
氣息	qìxī
*氣象	qìxiàng
氣壓	qìyā
氣質	qìzhì
契約	qìyuē
砌	qì
棄	qì
*器	qì
器材	qìcái
*器官	qìguān
卡	qiă
恰當	qiàdàng
恰好	qiàhăo
*千	qiān
千方百計	qiānfāngbăijì
牽	qiān
鉛	qiān
鉛筆	qiānbĭ
遷	qiān
遷移	qiānyí
*簽訂	qiāndìng
*前	qián
前邊	qián·biān
前方	qiánfāng
*前後	qiánhòu
*前進	qiánjìn
前景	qiánjĭng
*前面	qián·miàn
前期	qiánqī
前人	qiánrén
*前提	qiántí
前頭	qián·tou
*前途	qiántú
前往	qiánwăng
前夕	qiánxī
前線	qiánxiàn
潛	qián
潛力	qiánlì
潛在	qiánzài
*錢	qián
*淺	qiăn
遣	qiăn
欠	qiàn
嵌	qiàn
腔	qiāng
*槍	qiāng
*強	qiáng
*強大	qiángdà
強盜	qiángdào
*強調	qiángdiào
*強度	qiángdù
強化	qiánghuà
*強烈	qiángliè
強制	qiángzhì
*牆	qiáng
牆壁	qiángbì
*強	qiăng
*搶	qiăng
搶救	qiăngjiù
*悄悄	qiāoqiāo
*敲	qiāo
*橋	qiáo
橋樑	qiáoliáng
*瞧	qiáo
巧	qiăo
巧妙	qiăomiào
殼	qiào
*切	qiē
*且	qiě
*切	qiè
切實	qièshí
侵	qīn
侵犯	qīnfàn
*侵略	qīnlüè
侵權	qīnquán
侵入	qīnrù
侵蝕	qīnshí
侵佔	qīnzhàn
*親	qīn
親密	qīnmì
親戚	qīn·qi
*親切	qīnqiè
親熱	qīnrè
親人	qīnrén
親屬	qīnshŭ
親眼	qīnyăn
親友	qīnyŏu
*親自	qīnzì
*秦	Qín
琴	qín
勤	qín
勤勞	qínláo
*青	qīng
青春	qīngchūn
*青年	qīngnián
青蛙	qīngwā
*清	qīng
清晨	qīngchén
清除	qīngchú
*清楚	qīng·chu
清潔	qīngjié
清理	qīnglĭ
*清晰	qīngxī
清醒	qīngxĭng
*氫	qīng
*氫氣	qīngqì
*輕	qīng
輕工業	qīnggōngyè
輕聲	qīngshēng
輕視	qīngshì
輕鬆	qīngsōng
輕微	qīngwēi
輕易	qīngyì
輕重	qīngzhòng
傾	qīng
傾聽	qīngtīng
*傾向	qīngxiàng
傾斜	qīngxié
*情	qíng
*情報	qíngbào
情操	qíngcāo
*情感	qínggăn
*情節	qíngjié
*情景	qíngjĭng
情境	qíngjìng
*情況	qíngkuàng
情趣	qíngqù
*情形	qíng·xíng
*情緒	qíng·xù
*請	qĭng
*請求	qĭngqiú
慶祝	qìngzhù
*窮	qióng
窮人	qióngrén
*秋	qiū
秋季	qiūjì
秋天	qiūtiān
*求	qiú
求證	qiúzhèng
*球	qiú
酋長	qiúzhăng
*曲	qū
*曲線	qūxiàn
曲折	qūzhé
屈服	qūfú
*區	qū
*區別	qūbié
*區分	qūfēn
*區域	qūyù
驅	qū
驅逐	qūzhú
趨	qū
*趨勢	qūshì
趨向	qūxiàng
渠	qú
*曲	qŭ
*取	qŭ
取代	qŭdài
*取得	qŭdé
*取消	qŭxiāo
娶	qŭ
*去	qù
*去年	qùnián
去世	qùshì
趣味	qùwèi
*圈	quān
*全	quán
*全部	quánbù
全局	quánjú
*全面	quánmiàn
全民	quánmín
全球	quánqiú
*全身	quánshēn
*全體	quántĭ
泉	quán
拳	quán
拳頭	quán·tou
*權	quán
*權力	quánlì
*權利	quánlì
權威	quánwēi
權益	quányì
*勸	quàn
*缺	quē
*缺點	quēdiăn
*缺乏	quēfá
*缺少	quēshăo
缺陷	quēxiàn
*卻	què
確	què
確保	quèbăo
*確定	quèdìng
*確立	quèlì
確切	quèqiè
確認	quèrèn
*確實	quèshí
*群	qún
群落	qúnluò
*群體	qúntĭ
*群眾	qúnzhòng
*然	rán
*然而	rán'ér
*然後	ránhòu
燃	rán
*燃料	ránliào
*燃燒	ránshāo
染	răn
染色	rănsè
嚷	răng
*讓	ràng
擾亂	răoluàn
*繞	rào
惹	rě
*熱	rè
*熱愛	rè'ài
*熱帶	rèdài
*熱量	rèliàng
*熱烈	rèliè
*熱鬧	rè·nao
熱能	rènéng
*熱情	rèqíng
熱心	rèxīn
*人	rén
*人才	réncái
*人格	réngé
*人工	réngōng
*人家	rénjiā
*人家	rén·jia
*人間	rénjiān
人均	rénjūn
*人口	rénkŏu
*人類	rénlèi
*人力	rénlì
*人們	rén·men
*人民	rénmín
人民幣	rénmínbì
*人群	rénqún
人身	rénshēn
*人生	rénshēng
人士	rénshì
人事	rénshì
*人體	réntĭ
人為	rénwéi
*人物	rénwù
人心	rénxīn
人性	rénxìng
人影兒	rényĭngr
*人員	rényuán
人造	rénzào
仁	rén
*任	Rén
忍	rěn
忍耐	rěnnài
忍受	rěnshòu
*任	rèn
*任何	rènhé
任命	rènmìng
*任務	rèn·wù
*任意	rènyì
認	rèn
認定	rèndìng
*認識	rèn·shi
*認為	rènwéi
*認真	rènzhēn
扔	rēng
*仍	réng
仍舊	réngjiù
*仍然	réngrán
*日	rì
日報	rìbào
日常	rìcháng
日記	rìjì
日期	rìqī
日前	rìqián
日趨	rìqū
日夜	rìyè
*日益	rìyì
*日子	rì·zi
容	róng
容量	róngliàng
容納	róngnà
容器	róngqì
*容易	róngyì
*溶	róng
溶劑	róngjì
*溶解	róngjiě
*溶液	róngyè
熔	róng
榮譽	róngyù
融合	rónghé
柔和	róuhé
柔軟	róuruăn
揉	róu
*肉	ròu
肉體	ròutĭ
*如	rú
*如此	rúcĭ
*如果	rúguŏ
*如何	rúhé
*如今	rújīn
*如同	rútóng
*如下	rúxià
儒家	Rújiā
*乳	rŭ
*入	rù
入侵	rùqīn
入手	rùshŏu
入學	rùxué
*軟	ruăn
*若	ruò
*若干	ruògān
若是	ruòshì
*弱	ruò
弱點	ruòdiăn
撒	sā
灑	să
撒	să
塞	sāi
鰓	sāi
塞	sài
賽	sài
*三	sān
三角	sānjiăo
*三角形	sānjiăoxíng
傘	săn
*散	săn
散文	sănwén
*散	sàn
散佈	sànbù
散步	sànbù
散發	sànfā
嗓子	săng·zi
*喪失	sàngshī
掃	săo
掃蕩	săodàng
*色	sè
*色彩	sècăi
塞	sè
*森林	sēnlín
僧	sēng
僧侶	sēnglǚ
*沙	shā
沙發	shāfā
*沙漠	shāmò
沙灘	shātān
砂	shā
紗	shā
*殺	shā
殺害	shāhài
傻	shă
*色	shăi
曬	shài
*山	shān
山地	shāndì
山峰	shānfēng
山谷	shāngŭ
山林	shānlín
山路	shānlù
山脈	shānmài
*山區	shānqū
山水	shānshuĭ
山頭	shāntóu
*扇	shān
*閃	shăn
閃電	shăndiàn
閃光	shănguāng
閃爍	shănshuò
*扇	shàn
*單	Shàn
*善	shàn
善良	shànliáng
*善於	shànyú
*商	shāng
商標	shāngbiāo
*商店	shāngdiàn
*商量	shāng·liang
*商品	shāngpĭn
*商人	shāngrén
*商業	shāngyè
*傷	shāng
傷害	shānghài
傷口	shāngkŏu
傷心	shāngxīn
*上	shăng
賞	shăng
*上	shàng
上班	shàngbān
上邊	shàng·biān
上層	shàngcéng
*上帝	Shàngdì
*上級	shàngjí
上課	shàngkè
上空	shàngkōng
*上來	shàng·lái
*上面	shàng·miàn
*上去	shàng·qù
上山	shàngshān
*上升	shàngshēng
上市	shàngshì
*上述	shàngshù
上訴	shàngsù
*上午	shàngwŭ
*上下	shàngxià
上學	shàngxué
上衣	shàngyī
上游	shàngyóu
上漲	shàngzhăng
*尚	shàng
*梢	shāo
*稍	shāo
稍稍	shāoshāo
稍微	shāowēi
*燒	shāo
*少	shăo
*少量	shăoliàng
*少數	shăoshù
*少	shào
*少年	shàonián
少女	shàonǚ
少爺	shào·ye
*舌	shé
舌頭	shé·tou
*折	shé
*蛇	shé
捨	shě
捨不得	shě·bù·dé
*社	shè
*社會	shèhuì
*社會學	shèhuìxué
舍	shè
射	shè
射擊	shèjī
*射線	shèxiàn
*涉及	shèjí
*設	shè
*設備	shèbèi
設法	shèfă
*設計	shèjì
*設立	shèlì
*設施	shèshī
*設想	shèxiăng
*設置	shèzhì
攝	shè
攝影	shèyĭng
*誰	shéi
申請	shēnqĭng
*伸	shēn
伸手	shēnshŏu
*身	shēn
*身邊	shēnbiān
身材	shēncái
*身份	shēn·fèn
身後	shēnhòu
身軀	shēnqū
*身體	shēntĭ
身心	shēnxīn
身影	shēnyĭng
*身子	shēn·zi
參	shēn
*深	shēn
深沉	shēnchén
*深度	shēndù
深厚	shēnhòu
深化	shēnhuà
*深刻	shēnkè
深情	shēnqíng
*深入	shēnrù
深夜	shēnyè
深遠	shēnyuăn
*神	shén
*神話	shénhuà
*神經	shénjīng
*神秘	shénmì
神奇	shénqí
神氣	shén·qì
神情	shénqíng
神色	shénsè
神聖	shénshèng
神態	shéntài
神學	shénxué
*甚麼	shén·me
沈	Shěn
嬸	shěn
審查	shěnchá
*審美	shěnměi
*審判	shěnpàn
*甚	shèn
*甚至	shènzhì
*腎	shèn
慎重	shènzhòng
*滲透	shèntòu
*升	shēng
*生	shēng
*生產	shēngchăn
*生產力	shēngchănlì
*生成	shēngchéng
*生存	shēngcún
*生動	shēngdòng
*生活	shēnghuó
*生理	shēnglĭ
*生命	shēngmìng
生命力	shēngmìnglì
*生氣	shēngqì
生前	shēngqián
生態	shēngtài
*生物	shēngwù
生意	shēngyì
生意	shēng·yi
生育	shēngyù
*生長	shēngzhăng
*生殖	shēngzhí
牲畜	shēngchù
牲口	shēng·kou
*聲	shēng
聲調	shēngdiào
聲明	shēngmíng
聲響	shēngxiăng
*聲音	shēngyīn
繩	shéng
繩子	shéng·zi
*省	shěng
*盛	shèng
盛行	shèngxíng
剩	shèng
剩餘	shèngyú
*勝	shèng
*勝利	shènglì
聖	shèng
聖經	Shèngjīng
*失	shī
*失敗	shībài
失掉	shīdiào
*失去	shīqù
失調	shītiáo
*失望	shīwàng
失誤	shīwù
失業	shīyè
屍體	shītĭ
*施	shī
施工	shīgōng
施行	shīxíng
*師	shī
師範	shīfàn
*師傅	shī·fu
師長	shīzhăng
*詩	shī
詩歌	shīgē
*詩人	shīrén
詩意	shīyì
*濕	shī
濕度	shīdù
濕潤	shīrùn
*十	shí
*石	shí
石灰	shíhuī
*石頭	shí·tou
*石油	shíyóu
拾	shí
*食	shí
*食品	shípĭn
食堂	shítáng
*食物	shíwù
食鹽	shíyán
食用	shíyòng
*時	shí
時常	shícháng
*時代	shídài
時而	shí'ér
*時候	shí·hou
時機	shíjī
*時間	shíjiān
時節	shíjié
*時刻	shíkè
時空	shíkōng
時髦	shímáo
*時期	shíqī
*實	shí
*實際	shíjì
*實踐	shíjiàn
實力	shílì
實例	shílì
*實施	shíshī
實體	shítĭ
*實物	shíwù
*實現	shíxiàn
*實行	shíxíng
*實驗	shíyàn
實用	shíyòng
*實在	shízài
*實在	shí·zai
*實質	shízhì
識	shí
識別	shíbié
識字	shízì
*史	shĭ
史學	shĭxué
*使	shĭ
*使得	shĭ·dé
使勁	shĭjìn
使命	shĭmìng
*使用	shĭyòng
*始	shĭ
*始終	shĭzhōng
士	shì
士兵	shìbīng
*氏	shì
*氏族	shìzú
*世	shì
世代	shìdài
*世紀	shìjì
*世界	shìjiè
*世界觀	shìjièguān
*示	shì
示範	shìfàn
示威	shìwēi
*市	shì
*市場	shìchăng
市民	shìmín
*式	shì
*試	shì
試圖	shìtú
*試驗	shìyàn
*似的	shì·de
*事	shì
*事故	shìgù
事後	shìhòu
事跡	shìjì
*事件	shìjiàn
事例	shìlì
*事情	shì·qing
*事實	shìshí
*事物	shìwù
事務	shìwù
事先	shìxiān
*事業	shìyè
*室	shì
*是	shì
是非	shìfēi
*是否	shìfŏu
逝世	shìshì
*視	shì
視覺	shìjué
視線	shìxiàn
視野	shìyě
*勢	shì
勢必	shìbì
*勢力	shì·lì
適	shì
*適當	shìdàng
*適合	shìhé
*適宜	shìyí
*適應	shìyìng
*適用	shìyòng
*釋放	shìfàng
*收	shōu
*收購	shōugòu
收回	shōuhuí
收穫	shōuhuò
*收集	shōují
*收入	shōurù
收拾	shōu·shi
*收縮	shōusuō
收益	shōuyì
收音機	shōuyīnjī
*熟	shóu
*手	shŏu
手臂	shŏubì
手錶	shŏubiăo
*手段	shŏuduàn
*手法	shŏufă
手工	shŏugōng
手腳	shŏujiăo
手榴彈	shŏuliúdàn
手槍	shŏuqiāng
手勢	shŏushì
*手術	shŏushù
手續	shŏuxù
手掌	shŏuzhăng
*手指	shŏuzhĭ
*守	shŏu
*首	shŏu
*首都	shŏudū
首領	shŏulĭng
*首先	shŏuxiān
首要	shŏuyào
首長	shŏuzhăng
*受	shòu
受傷	shòushāng
授	shòu
狩獵	shòuliè
壽命	shòumìng
*瘦	shòu
獸	shòu
抒情	shūqíng
*叔叔	shū·shu
*書	shū
書包	shūbāo
書本	shūběn
書籍	shūjí
*書記	shū·jì
書面	shūmiàn
書寫	shūxiě
梳	shū
疏	shū
*蔬菜	shūcài
舒服	shū·fu
舒適	shūshì
輸	shū
輸出	shūchū
輸入	shūrù
輸送	shūsòng
*熟	shú
熟練	shúliàn
*熟悉	shú·xī
鼠	shŭ
*數	shŭ
*屬	shŭ
*屬性	shŭxìng
*屬於	shŭyú
*束	shù
*束縛	shùfù
述	shù
術	shù
術語	shùyŭ
*數	shù
*數據	shùjù
*數量	shùliàng
*數目	shùmù
*數學	shùxué
數值	shùzhí
*數字	shùzì
豎	shù
*樹	shù
樹幹	shùgàn
*樹立	shùlì
樹林	shùlín
*樹木	shùmù
樹種	shùzhŏng
刷	shuā
耍	shuă
衰老	shuāilăo
摔	shuāi
甩	shuăi
*率	shuài
*率領	shuàilĭng
拴	shuān
霜	shuāng
*雙	shuāng
*雙方	shuāngfāng
*誰	shuí
*水	shuĭ
*水分	shuĭfèn
水果	shuĭguŏ
水庫	shuĭkù
水利	shuĭlì
水流	shuĭliú
*水面	shuĭmiàn
水泥	shuĭní
*水平	shuĭpíng
水手	shuĭshŏu
水位	shuĭwèi
水文	shuĭwén
水銀	shuĭyín
水源	shuĭyuán
水蒸氣	shuĭzhēngqì
*稅	shuì
稅收	shuìshōu
*睡	shuì
*睡覺	shuìjiào
睡眠	shuìmián
順	shùn
*順利	shùnlì
順手	shùnshŏu
*順序	shùnxù
瞬間	shùnjiān
*說	shuō
*說法	shuō·fă
說服	shuōfú
*說話	shuōhuà
*說明	shuōmíng
司	sī
司法	sīfă
司機	sījī
司令	sīlìng
私	sī
*私人	sīrén
私營	sīyíng
私有	sīyŏu
思	sī
思潮	sīcháo
*思考	sīkăo
思路	sīlù
*思索	sīsuŏ
*思維	sīwéi
*思想	sīxiăng
思想家	sīxiăngjiā
斯	sī
*絲	sī
絲毫	sīháo
*死	sĭ
*死亡	sĭwáng
死刑	sĭxíng
*四	sì
四處	sìchù
四面	sìmiàn
四肢	sìzhī
*四周	sìzhōu
*似	sì
*似乎	sì·hū
寺	sì
寺院	sìyuàn
*飼料	sìliào
飼養	sìyăng
*鬆	sōng
*宋	Sòng
送	sòng
搜集	sōují
艘	sōu
*蘇	sū
俗	sú
俗稱	súchēng
速	sù
*速度	sùdù
*素	sù
素材	sùcái
*素質	sùzhì
宿	sù
宿舍	sùshè
訴訟	sùsòng
*塑料	sùliào
*塑造	sùzào
*酸	suān
*算	suàn
*雖	suī
*雖然	suīrán
雖說	suīshuō
*遂	suí
隋	Suí
*隨	suí
*隨便	suíbiàn
*隨後	suíhòu
隨即	suíjí
*隨時	suíshí
隨意	suíyì
髓	suĭ
碎	suì
*遂	suì
*歲	suì
歲月	suìyuè
穗	suì
*孫	sūn
孫子	sūn·zi
*損害	sŭnhài
損耗	sŭnhào
損傷	sŭnshāng
*損失	sŭnshī
縮	suō
縮短	suōduăn
*縮小	suōxiăo
*所	suŏ
所屬	suŏshŭ
*所謂	suŏwèi
*所以	suŏyĭ
*所有	suŏyŏu
*所有制	suŏyŏuzhì
*所在	suŏzài
索	suŏ
鎖	suŏ
*他	tā
*他們	tā·men
*他人	tārén
*她	tā
*她們	tā·men
牠	tā
牠們	tā·men
*它	tā
*它們	tā·men
*塔	tă
*踏	tà
胎	tāi
胎兒	tāi'ér
*台	tái
*抬	tái
抬頭	táitóu
颱風	táifēng
*太	tài
太空	tàikōng
太平	tàipíng
*太太	tài·tai
*太陽	tài·yáng
太陽能	tàiyángnéng
太陽系	tàiyángxì
*態	tài
*態度	tài·dù
攤	tān
灘	tān
痰	tán
*談	tán
*談話	tánhuà
談論	tánlùn
談判	tánpàn
*彈	tán
彈性	tánxìng
坦克	tănkè
探	tàn
探測	tàncè
*探索	tànsuŏ
*探討	tàntăo
*嘆	tàn
嘆息	tànxī
*碳	tàn
*湯	tāng
*唐	táng
塘	táng
*糖	táng
堂	táng
倘若	tăngruò
*躺	tăng
*趟	tàng
燙	tàng
掏	tāo
逃	táo
逃避	táobì
逃跑	táopăo
逃走	táozŏu
桃	táo
陶	táo
陶冶	táoyě
淘汰	táotài
討	tăo
*討論	tăolùn
討厭	tăoyàn
*套	tào
*特	tè
*特別	tèbié
特地	tèdì
*特點	tèdiăn
*特定	tèdìng
特權	tèquán
*特色	tèsè
*特殊	tèshū
*特性	tèxìng
特意	tèyì
*特徵	tèzhēng
疼	téng
疼痛	téngtòng
藤	téng
踢	tī
*提	tí
*提倡	tíchàng
*提高	tígāo
*提供	tígōng
提煉	tíliàn
*提起	tíqĭ
提前	tíqián
提取	tíqŭ
提醒	tíxĭng
提議	tíyì
*題	tí
*題材	tícái
題目	tímù
*體	tĭ
體裁	tĭcái
體操	tĭcāo
*體會	tĭhuì
*體積	tĭjī
體力	tĭlì
體溫	tĭwēn
*體系	tĭxì
*體現	tĭxiàn
*體驗	tĭyàn
*體育	tĭyù
*體制	tĭzhì
體質	tĭzhì
體重	tĭzhòng
*替	tì
替代	tìdài
*天	tiān
天才	tiāncái
*天地	tiāndì
天鵝	tiān'é
*天空	tiānkōng
*天氣	tiānqì
*天然	tiānrán
天然氣	tiānránqì
天生	tiānshēng
*天體	tiāntĭ
天文	tiānwén
*天下	tiānxià
天真	tiānzhēn
天主教	Tiānzhŭjiào
添	tiān
